keys,ja
SYSTEM_OPTION__NAME___,"OPTION"
SYSTEM_OPTION__FULL___,"풀스크린"
SYSTEM_OPTION__BGM____,"BGM"
SYSTEM_OPTION__SE_____,"효과음"
SYSTEM_OPTION__PRESAVE,"이전 세이브 : %s초 전"
SYSTEM_OPTION__BACKTIT,"타이틀로 돌아가기"
SYSTEM_MNOTE___NAME___,"NOTE"
SYSTEM_MNOTE___TITLE__,"타이틀을 입력(20자까지)"
SYSTEM_MNOTE___EDIT___,"메모 입력"
SYSTEM_MNOTE___TODO___,"To Do 리스트"
SYSTEM_PNOTE___PARTY__,"파티명"
SYSTEM_PNOTE___RANK___,"랭크"
SYSTEM_PNOTE___CLASS__,"직업"
SYSTEM_SORT____BUTTUN_,"정렬"
SYSTEM_SORT____NAME__U,"이름순 (A -> Z)"
SYSTEM_SORT____DAY____,"DAY순"
SYSTEM_SORT____RECENTU,"입수순 (OLD -> NEW)"
SYSTEM_SORT____RECENTD,"입수순 (NEW -> OLD)"
SYSTEM_SORT____HINT___,"『기록』의 단서순"
SYSTEM_VIEW____P_COLOR,"글자색"
SYSTEM_SEARCH__ENDING_,"에필로그로"
SYSTEM_SEARCH__INP_COM,"[b][u]용어[/u][/b]클릭　혹은 [Enter]로 대화하기"
SYSTEM_SEARCH__EDIT___,"카타카나, 반각 영숫자(15자까지)"
SYSTEM_SEARCH__WRITE__,"써서 보여주기"
SYSTEM_TRAVEL__TITLE__,"길드 가입 리스트 (선착순)"
SYSTEM_TRAVEL__NONE___,"「없음」으로 설정"
SYSTEM_TRAVEL__ENT_DAY,"DAY %s[br]가입"
PARTYPOSITION_LEADER_,"리더"
PARTYPOSITION_MEMBER_,"멤버"
PARTYPOSITION_LOST___,"사망"
PARTYPOSITION_UNKNOWN,"불명"
PARTYNAME_19_____,"아키라와 유쾌한 동료들"
CLASSNAME_NONE___,"? ? ?"
CLASSNAME_FIGHTER,"전사"
CLASSNA_A_FIGHTER,"전사 (Warrior)"
CLASSNAME_HUNTER_,"사냥꾼"
CLASSNA_A_HUNTER_,"사냥꾼 (Hunter)"
CLASSNAME_MAGIC__,"마도사"
CLASSNA_A_MAGIC__,"마도사 (Mage)"
CLASSNAME_HEALER_,"성직자"
CLASSNA_A_HEALER_,"성직자 (Healer)"
CLASSNAME_THIEF__,"도적"
CLASSNA_A_THIEF__,"도적 (Thief)"
CLASSNAME_COOK___,"요리사"
CLASSNA_A_COOK___,"요리사 (Cook)"
CLASSNAME_PREDICT,"예언자"
CLASSNA_A_PREDICT,"예언자 (Prophet)"
CLASSNAME_CURSE__,"사령술사"
CLASSNA_A_CURSE__,"사령술사 (Necromancer)"
CLASSNAME_BEAST__,"조련사"
CLASSNA_A_BEAST__,"조련사 (Beast tamer)"
CLASSNAME_MAG_FIG,"마법전사"
CLASSNA_A_MAG_FIG,"마법전사 (Spellsword)"
CLASSNAME_MAG_HEA,"현자"
CLASSNA_A_MAG_HEA,"현자 (Sage)"
CHARANAME_NONE___,"없음"
CHARANAME_0000001,"아키라"
CHARANAME_0000002,"무스"
CHARANAME_0000003,"히간"
CHARANAME_0000004,"야신"
CHARANAME_0000005,"포포"
CHARANAME_0000006,"사잔"
CHARANAME_0000007,"펜넬"
CHARANAME_0000008,"츄베"
CHARANAME_0000009,"겟카"
CHARANAME_0000010,"니시키"
CHARANAME_0000011,"키링"
CHARANAME_0000012,"쿠아"
CHARANAME_0000013,"롭"
CHARANAME_0000014,"이리스"
CHARANAME_0000015,"루기아"
CHARANAME_0000016,"오넷"
CHARANAME_0000017,"치구리"
CHARANAME_0000018,"치이브"
CHARANAME_0000019,"도쿠"
CHARANAME_0000020,"세이비"
CHARANAME_0000021,"이구사"
CHARANAME_0000022,"루비아"
CHARANAME_0000023,"카틀레아"
CHARANAME_0000024,"버베나"
CHARANAME_0000025,"루포"
CHARANAME_0000026,"세이지"
CHARANAME_0000027,"마루메로"
CHARANAME_0000028,"메리아"
CHARANAME_0000029,"호오즈키"
CHARANAME_0000030,"리에"
CHARANAME_0000031,"나스타"
CHARANAME_0000032,"진"
CHARANAME_0000033,"리무라"
CHARANAME_0000034,"레가노"
CHARANAME_0000035,"모미"
CHARANAME_0000036,"브란카"
CHARANAME_0000037,"레아"
CHARANAME_0000038,"파지"
CHARANAME_0000039,"비오"
CHARANAME_0000040,"스타릴리"
CHARANAME_0000041,"란사스"
CHARANAME_0000042,"치이"
CHARANAME_0000043,"나기"
CHARANAME_0000044,"아리"
CHARANAME_0000045,"우즈"
CHARANAME_0000046,"무라사키"
CHARANAME_0000047,"데이지"
CHARANAME_0000048,"무기구사"
CHARANAME_0000049,"자미"
CHARANAME_0000050,"델피"
CHARANAME_0000051,"기쿠"
CHARANAME_0000052,"츠바키"
CHARANAME_0000053,"사이"
CHARANAME_0000054,"시온"
CHARANAME_0000055,"파키라"
CHARANAME_0000056,"스미"
CHARANAME_0000057,"론"
CHARANAME_0000058,"미모자"
CHARANAME_0000059,"마요이"
CHARANAME_0000060,"스이센"
CHARANAME_0000061,"쿠로유리"
CHARANAME_0000062,"파세"
CHARANAME_0000063,"쿠니"
CHARANAME_0000064,"노드"
CHARANAME_0000065,"다마키"
CHARANAME_0000066,"렌"
CHARANAME_0000067,"마츠"
CHARANAME_0000068,"베라"
CHARANAME_0000069,"키쿄"
CHARANAME_0000070,"사쿠라"
CHARANAME_0000071,"토피"
CHARANAME_0000072,"포르비아"
CHARANAME_0000073,"무적의 츠바사"
CHARANAME_0000074,"오지기"
CHARANAME_0000075,"마티스"
CHARANAME_0000076,"칸사스"
CHARANAME_0000077,"아니스"
CHARANAME_0000078,"쿠루미"
KEY_WORD_CARD_CTRL___,"컨트롤"
KEY_TALK_CARD_CTRL___,"자기 길드의『[INC_MEMB_]』같은 거야."
KEY_WORD_CARD_MEMBER_,"멤버"
KEY_TALK_CARD_MEMBER_,"『[INC_CTRL_]』되고 있는[br]모험가를 말하는 거지. 아마."
KEY_TALK_HEAD_PARTYS_,"길드 등록부터 오랫동안 열심히 한 파티를[br]인터뷰하고 있는 거지."
KEY_TALK_HEAD_NEWS___,"『[INPARTYS_]』랑은 다르게, [br]이벤트나 사건 같은 걸 싣는 것 같아."
KEY_TALK_COMM_DAY____,"길드가 생긴 뒤부터 세는 거였지?[br]이상한 단위네."
KEY_WORD_COMM_CLS_PLY,"기억사"
KEY_TALK_COMM_CLS_PLY,"아저씨는 기억사가 아니라 [C_R]『기록』을 버리지 않고[br]모아 두는 기록사[/C]인데, 이상하게 전해졌네─."
KEY_WORD_COMM_WORLD_1,"원래 세계"
KEY_TALK_COMM_WORLD_1,"「원래 세계」라고 해도, 세계는 하나뿐인걸?"
KEY_WORD_COMM_WORLD_2,"이쪽 세계"
KEY_TALK_COMM_WORLD_2,"세계는 하나뿐이라니까."
KEY_WORD_COMM_BRAVE__,"용사"
KEY_TALK_COMM_BRAVE__,"[NNAKIRA__]라는 사람이 그렇게 불린대. [br]대단하지."
KEY_WORD_COMM_GAME___,"게임"
KEY_WORD_COMM_CONCEPT,"컨셉"
KEY_WORD_COMM_WAKARAS,"굴복"
KEY_TALK_COMM_GAME___,"아마「[INCARD___]」를 말하는 거겠지."
KEY_WORD_COMM_CARD___,"GUILDCEPT"
KEY_TALK_COMM_CARD___,"카드를 사용하는 놀이. [br]관심은 없지만, 뭔가 유행이래. [br]다들 하고 있대. [shake]관심은 없지만. [/shake]"
KEY_WORD_COMM_RESTART,"이세계 전생"
KEY_TALK_COMM_RESTART,"예전에 그런 말을 하던[br]모험가 아이가 있었던 것 같네."
KEY_WORD_COMM_TRUCK__,"트럭"
KEY_TALK_COMM_TRUCK__,"「TRAP」의 오타 아니야?"
KEY_WORD_COMM_TRAP___,"TRAP"
KEY_TALK_COMM_TRAP___,"나 같이 엄청 귀여운 애가 사실 남자아이였다면「[INTRAP___]」이라나 봐. [br]……여자아이니까 안심해."
KEY_WORD_COMM_CHEAT__,"치트 스킬"
KEY_TALK_COMM_CHEAT__,"예전에 그렇게 말하던 모험가 아이는[br][C_R][shake][b]C랭크일 때 금방 죽었대[/b][/shake][/C]."
KEY_WORD_COMM_19_SKL1,"선두"
KEY_TALK_COMM_19_SKL1,"[NNAKIRA__]라는 사람이 만드는 요리 말이지. [br]체력만 회복되는 게 아니라, 힘도 파워업된대."
KEY_TALK_NONE_UNKNOWN,"들어도 잘 모르겠어."
KEY_TALK_NONE_NO_LOOK,"그런 기호 자료는[br]『자료실』에 없었던 것 같아."
KEY_TALK_NONE_FOUCE__,"……혹시, 반응이 나올 때까지 한 글자씩『다 넣어보고』있는 거야……?[br]좀 더 알기 쉬운 [b][C_R]법칙[/C][/b] 같은 건 없을까?"
KEY_TALK_GIRL_HAS____,"그 기호라면, 이미 가져왔으니까[br][C_G]손에 있을[/C]걸?"
KEY_TALK_GIRL_LEAVE__,"본 적 있어! 가져올게─"
KEY_TALK_GIRL_LEAVE_F,"……!!!"
KEY_TALK_GIRL_RETURN_,"기다렸지─."
KEY_TALK_GIRL_SILENT_,"……. [br](먼저 받아주길 바라는 표정)"
KEY_NAME_AKIRA___TALK,"들어본 적 있어. [br]S랭크인 사람이라던가?"
KEY_NAME_MOUSSE__TALK,"알고 있어. 맛있지."
KEY_NAME_PAKIRA__TALK,"길드 최강인 사람 아니었나?[br]요즘 뭐 하고 있으려나."
KEY_VIEW_ITEM_PROLOG1,"[center][b]조사 의뢰[/b][/center]\n[br]의뢰 내용：[br][C_R][b]『[I_DAY____] 1000』시점[/b][/C]에 길드에 등록된 모든 파티 정보의 복구 작업\n - 파티 구성(리더, [I_C_MEMB_], 사망)\n - 직업(전사, 마도사 등)\n - 랭크(S~D)[br]\n제출 방법：[br][C_R][b]『기록지(후술)』[/b][/C]에 정보를 정리하여 제출[br]\n보수：[br]100, 000G, 양다리 완전 치료[br]\n기한：[br]긴급, [C_R][b]내일([I_DAY____] 1003) 정오[/b][/C]까지"
KEY_VIEW_ITEM_PROLOG2,"[center][b]『기록지』에 대하여[/b][/center]\n[br]『기록지』에는 이미 [b]파티명[/b]과[br][b] 길드에 등록한 날짜[/b]가 기재되어 있으나, [br]그 외는 전부 공란이다. [br]\n『길드 가입 리스트』에서 [C_R][b]『얼굴 사진』[/b][/C]을 연결하고, 추가로[C_R][b]『직업』[/b][/C]과 파티의 [C_R][b]『랭크』[/b][/C]를 기록하면 파티 정보가 완성된다. [br]\n전 파티용『기록지』는 준비 중이지만, [b][C_R]우선 1장[/C][/b]을 송부한다. 참고로 확인 바란다."
KEY_VIEW_ITEM_PROLOG3,"[center][b]보충 기재[/b][/center]\n[br]우리들이 저지른, 길드의 신용을 크게 떨어뜨린 실수 때문에 이렇게 무리하게 부탁하게 된 점을 진심으로 사과한다. [br]\n이 마을 최고 수준의 [C_R]기억력과 조사 능력을 지닌『[I_CLS_PLY]』의 두뇌[/C]를 알고 있기에 하는 의뢰이다. [br]\n극비 사항이므로, 성공 시에는 보수금에 더해 부상당한 양다리의 치료도 약속한다. [br]\n지난 기사([I_19__100] 등)에서도 언급했듯이, 조만간 전야제가 개최된다. [br]그때까지 분실된 기록지 복구가 이루어지지 않으면, 최악의 경우 길드 전체가 붕괴할 수도 있는 상황이다. [br]\n부디 검토해 주길 바란다."
KEY_TALK_ITEM_19_1001,"조금 전에『자료실』에 두었던 그거였지?[br]가져올 테니까, 말이 아니라 [br][C_R][b]글자로 어떻게 쓰는지 알려줄래?[/b][/C]"
KEY_TALK_ITEM_19_1002,"조금 전에『자료실』에 두었던 그거였지?[br]이미 손에 있을 거야."
KEY_VIEW_ITEM_19_1001,"4명의 모험가가 단상에 오른다. [br][C_IS]오늘은, 기념비적인[C_R]『[I_DAY____] 1000』[/C]의 날에 와 주셔서 감사합니다. [/C][br][C_IR]저야말로 감사합니다. [br]그런데……괜찮은 건가요? 두 번이나 받아 버렸는데. [/C][br][C_IS]아뇨, 지난번은 제가 길드에 억지로 부탁해서 진행했던 특례 중의 특례였으니까요![br]지난번을 포함해 과거에 딱 두 번 예외가 있었지만, [C_R]이번이 진짜 인터뷰[/C]입니다. [br]힘내서 가보죠![/C]"
KEY_VIEW_ITEM_19_1002,"[br][C_IS]그럼 바로, 승격 후 50일이 지난 현재 심경은 어떠신가요?[/C][br][C_IR]이제 익숙해졌어요. 처음에는, 나 같은 사람이 이런 걸 받아도 되나 하고 고민했지만, 지금은 그 랭크에 부끄럽지 않은 파티로 만들고 싶다고 생각합니다. [/C][br][C_IS]『[I_WORLD_1]』의 가족이 기뻐해 주도록, 이라고 하셨던가요?[/C]"
KEY_VIEW_ITEM_19_1003,"[br]\n[C_IR]그건 잊어주세요(웃음)[br]그때는, 그게, 긴장해서……. 다만 이 랭크 제도에 대해서는, 조금은 생각이 있습니다. [/C][br][C_IS]오호……?[/C][br][C_IR]지난번에, [C_R]A랭크 리더 분과 함께[/C] 직접 길드에 상담을 드렸습니다만……[br]모처럼의 랭크 제도인데, 랭크가 거의 변하지 않잖아요. [/C][br][C_IR]저도 조금씩 올라갈 거라 생각했는데……. [/C]"
KEY_VIEW_ITEM_19_1004,"[br][C_IS]……. [/C][br][C_IR]혹시 절차가 번거로워서 그러는건 아니죠?[/C][br][C_IS]그건 아니에요(웃음)하지만 그 점에 대해서는 저도 같은 생각입니다. 길드도 강등 리스크라든가 여러 가지를 고려하고 있겠지만……[br]그래도 해야 할 일은 있다고 생각합니다. [/C]"
KEY_VIEW_ITEM_19_1005,"[br][C_IS]요청 주신 사항의 실현은, 조금만 더 기다려 주시겠습니까?[/C][br][C_IR]감사합니다. [br]이 시기엔 바쁘실 텐데 죄송합니다. [br]왠지 말해 두지 않으면 안 될 것 같아서……. [/C][br][C_IS]아뇨 아뇨, 바쁘다고 해도, [N_AKIRA__] 씨 만큼은 아니에요(웃음)[/C]"
KEY_VIEW_ITEM_19_1006,"[br][C_IS]……그럼 다음 질문──다른 파티 분들께 던전 공략 조언을 해주실 수 있을까요?[/C][br][C_IR]굳이 말하자면, 제가 선배들에게 배울 게 더 많아서 송구스럽지만……[br]역시, [C_R]파티의 [I_C_MEMB_]들과는 사이좋게 지내는 게 중요[/C]하다고 생각합니다. [/C][br][C_IS]사이좋게, 라는 건 구체적으로?[/C]"
KEY_VIEW_ITEM_19_1007,"[br]\n[C_IR]그렇게 어려운 이야기는 아니에요. [br]아시다시피, [C_R]던전은 위험이 가득[/C]합니다. [/C][br]\n[C_IR]강한 마물이나 위험한 함정이 있는 건 물론이고, 식량이 떨어질 수도 있죠. [/C][br]\n[C_IR]그럴 때 파티 내에서 분열 같은 걸 하고 있을 상황은 아니잖아요. [/C][br]"
KEY_VIEW_ITEM_19_1008,"[br][C_IS]………………. [/C][br][C_IR]여러분이 가장 믿을 수 있는 아군으로서, [br][C_R]항상 사이좋게 지내는 게 중요[/C] 하다고 저는 생각합니다. [/C][br]\n[C_IR]……『겉치레』로 들렸을까요?[/C]"
KEY_VIEW_ITEM_19_1009,"[br][C_IS]아뇨, [b][C_R] 길드에서 유일하게 사망자를 한 명도 내지 않은[/C][/b][br][N_AKIRA__] 씨의 파티이기에 더 무게 있는 말이라고 생각합니다. 정말 훌륭한 일이에요. [/C][br][C_IR]과찬이십니다. 아, 하지만 [C_R]사망자를 한 명도 내지 않은 파티는 한 팀 더 있을걸요[/C]?[/C][br][C_IS]또 또~![br]그런 파티, 다른 데 없어요(웃음)[br]다들 금방 죽어 버리니까요. [/C]"
KEY_VIEW_ITEM_19_100A,"[br]\n[C_IR]……지켜봐 주세요. 언젠가 우리를 뛰어넘는 파티가 될 거라 생각합니다. 해낼 거예요, 그녀는. [/C][br][C_IS]……그건 기대되네요![br]다만 최근 조사에 따르면, [C_R]최근 500일 이상은 파티 실격 외에는 랭크 변동이 없었다[/C]고 합니다. [br]우선 이 부분부터 재검토해야겠네요……. [/C][br][C_IR]엣, 벌써 조사해 주신 건가요!?[/C]"
KEY_VIEW_ITEM_19_100B,"[br][C_IS]네! 빠른 것 하나는 장점이니까요(웃음)[/C][br][C_IR]감사합니다! 하지만 500일이라. [br]우리 때도 다른 파티는 그대로였죠. [/C][br][C_IS]특례니까요(웃음)그럼 마지막으로……[br]파티명의 유래를 듣고 끝낼까요![/C][br][C_IR]잠깐, 그걸 또 말해야 하나요?(웃음)[/C]"
KEY_VIEW_ITEM_19_100C,"[br][C_IS]부탁드립니다!! 보시다시피!![br]지금은 꼭 듣고 싶은 기분이에요……!!![/C][br][C_IR]에─……내가 [I_WORLD_2]에…… 아니지. [br]이 세상에 태어났을 때부터 꿈꿔 온 모험의 여행. [br]그걸 [C_R]유쾌하게 웃을 수 있는 동료들과 함께 할 수 있으면 좋겠다[/C]고 생각해서입니다. 이상![/C][br][C_IS]감사합니다![br]정말로, 정말로 멋지다고 생각해요![/C]"
KEY_VIEW_ITEM_19_100D,"[br][C_IS]지난 인터뷰를 다시 읽고 싶은 분은, [br]『[I_19___95]』를 확인해 주세요![/C][br][C_IR]그만두세요(웃음)[/C][br][C_IS]하하하(웃음)……[N_AKIRA__] 씨와 이야기하면, 굉장히 안심이 됩니다. 정말로……. [/C][br][C_IR]왜 그러세요, 갑자기. [/C]"
KEY_VIEW_ITEM_19_100E,"[br][C_IS]아뇨 아뇨, 아무것도 아니에요(웃음)[br]……오늘은 감사했습니다. [br]그 [C_R]던전 공략『전야제』[/C], [br]저희도 힘내서 준비할 테니…… 반드시, 무사히 돌아와 주세요! 좋은 여행 되시길![/C][br][C_IR]물론이죠! 좋은 여행 되시길![/C]"
KEY_VIEW_ITEM_19__501,"3명의 모험가가 단상에 오른다. [br][C_IS]자, 이쪽으로. 오늘은 감사합니다![/C][br][C_IR]엣? 이거 뭐야? 나, 맛있는 걸[br]먹을 수 있다고 해서 기대했는데??[/C][br][C_IS]하하……첫 질문 전에, 우선──[br][b][C_R]『S랭크』[/C]로의 승격을 축하드립니다![/b][/C][br][C_IR]아, 드디어 랭크가 오르는 거네요. [br]감사합니ㄷ…………?[/C]"
KEY_VIEW_ITEM_19__502,"[br]\n[C_IR][b]『S』!?[/b]『S』가 뭐야!?『B』가 아니라……!?[/C][br][C_IS]네! 원래는[C_R]『A(Apex)』『B(Bravery)』, [br]『C(Common)』『D(Dead)』의 4랭크뿐[/C]이지만, [br]저희는 [N_AKIRA__] 씨의 활약을 계기로, [br]새로운 랭크[C_R][b]『S(Special)』[/b][/C]를 신설했습니다![br]길드 설립 이래 처음이에요![/C][br]\n[C_IR]……저기……알고 있었어?[/C][br](뒤쪽 좌석의 두 사람이 빠르게 고개를 흔든다)"
KEY_VIEW_ITEM_19__503,"[br]\n[C_IR]그렇지……저기, 뭔가 착오 아니야……?[/C][br][C_IS]모르는 것도 당연합니다……네![br]이건 곧 발행 예정인『[I_NEWS___]』입니다. [/C][br][C_IR]『[I_19__950]』? 왜 내 사진이……. [br]……엣, 잠깐, 이거 우리 이야기야!?[/C]"
KEY_VIEW_ITEM_19__504,"[br][C_IS]네! 그 난공불락 던전을, [br][C_R]단 3일 만에 공략했다[/C]고 들었습니다![br]이건 길드는 물론, 세계 최초의 쾌거입니다![/C][br][C_IR]에에……? 혹시 우리, [br]또 뭔가 저지른 건가요……?[/C][br][C_IS]……혹시 기사에 오류가?[/C]"
KEY_VIEW_ITEM_19__505,"[br]\n[C_IR]그……다른 사람들 이야기는 맞는 것 같아요. [br]다만, 내가『[I_BRAVE__]』라니……. [/C][br][C_IS]자 자, 그건 그렇다 치고……[br]그럼 바로, 길드 최초의 S랭크로[br]승격한 현재 심경은 어떠신가요?[/C][br][C_IR]잠깐, 아, 아……!![br]부, 부탁이야, 대신해! 대신해 줘![br]뒤에서 웃지만 말고 도와줘───!![/C]"
KEY_VIEW_ITEM_19__506,"[br][C_IS]……당신이 리더 아닌가요?[/C][br][C_IR]아, 아니, 내가 맞긴 한데, 그……[br]저기, 그녀가, [C_R]마도사[/C]라서, 나보다 똑똑하니까……[/C][br]\n[C_IR]……저기…………그, [br][I_WORLD_1]의 가족도 이걸 들으면[br]눈물을 흘리며 기뻐해 줄까, 해서……하하……. [/C]"
KEY_VIEW_ITEM_19__507,"[br][C_IS]………………. [/C][br][C_IR]……?[/C][br][C_IS]『[I_WORLD_1]』란?[/C][br][C_IR]아, 저기……[br]나 사실 [I_RESTART]한 거라서……. [/C]"
KEY_VIEW_ITEM_19__508,"[br]\n[C_IR]저쪽에서 [I_TRUCK__]에 치일 뻔한 강아지를 구했더니, 내 앞에 여신님이 나타나서……[br][I_CHEAT__]『[I_19_SKL1]』를 줘서, [I_WORLD_2]에서도 같은 일을 했는데, [br]어느새 다들 모여서……. [/C][br][C_IS]…………???[/C][br][C_IR]하하……. [/C]"
KEY_VIEW_ITEM_19__509,"[br][C_IS]……가, 감사했습니다! 저기……[br]다음 질문인데, 파티명의 유래라든가──[/C][br][C_IR]아, 그건 맡겨 주세요![br][C_R]어릴 때 [I_GAME___]으로 놀며 동경했던[br]판타지 세계의 모험 여행![/C][br]내가 [I_WORLD_2]에 다시 태어났던 그 순간, 그걸 이룰 수 있다고 듣고 설렘이 멈추질 않았어요![br]그래서, [b]여행에서 만난 모두와 함께, [br]앞으로도!! 유쾌하게!! 웃으며!![br]여행을!! 할 수 있으면!! 좋겠다고!![br]생각해서!! 이 파티명으로!![br]정했습니다!!!![/b] ……어때요!?[/C]"
KEY_VIEW_ITEM_19__50A,"[br][C_IS]엣? 아, 아하……감사합니다. [/C][br][C_IR]…………으……야, [N_MOUSSE_]. [br]왜 [C_R]아까부터 혼자 계속 웃고만[/C] 있는 거야!?[br]너……그때는 울고 있었잖아? 그렇지!?[br]설마 그 눈물도 나를 비웃어서, [br]참느라 울었던 거냐……!?[/C][br][C_IS]아, 죄송합니다! 그, 중간중간[br]잘 모르는 단어가 많아서……[br]지식이 부족해서 죄송합니──어라?[/C]"
KEY_VIEW_ITEM_19__50B,"[br][C_IS]저기, 오늘은 그『유쾌한 동료들』이[br][C_R]한 명 부족한[/C] 것처럼 보이는데요. [/C][br][C_IR]아, 사람이 많은 곳을 아직 어려워해서……. [br]파티나 길드 등록도, \n그녀만 다음 날이 되어 버렸고요. [/C][br][C_IS]아─……괜찮아요. [br]예전에 [C_R]비열한 도적단이 일으킨 사건[/C]때문에, [br]길드에 얼굴을 내밀기 어려운 걸지도요. [br]그래도 지금은 도적의 지위도 올라갔습니다. [/C]"
KEY_VIEW_ITEM_19__50C,"[br][C_IS]다음 기회에, 꼭![/C][br][C_IR]아뇨, 그녀는 그냥 낯을 가리는 것뿐인데……[br]아니,『다음 기회』라니 뭐예요!?[/C][br][C_IS]마지막 질문입니다! 던전 공략을 목표로 하는[br]모험가들에게, 꼭 조언을![/C][br][C_IR][b]내가!? 길드 선배들한테 혼난다구!![/b][/C]"
KEY_VIEW_ITEM_19__50D,"[br][C_IS]아뇨 아뇨, 다들 기대받는 신인에게 질 수 없다며 의욕이 넘치니까요! 뭐든 좋아요![/C][br][C_IR]으, 으음……에─…………크흠. [br]그럼 여러분……[br]이라기보다 아직 길드에 등록하지 않은, [br][C_R]나와 같은『직업』[/C]의 미래 후배들에게. [/C][br][C_IS]미래의 후배들에게, 인가요. [/C]"
KEY_VIEW_ITEM_19__50E,"[br]\n[C_IR]네…… 내 이야기를 듣고[C_R]「나도 식은 죽 먹기네」[/C]라고 착각할지도 모르겠지만, 그렇게 만만하진 않습니다. [/C][br]\n[C_IR]……[C_R]던전은, 위험[/C]합니다. [/C][br]\n[C_IR]그 마물과 싸우고 나서야 겨우 이해했어요. [br]난 그저 운이 좋았을 뿐이라는 걸. [br]요리로 사람을 행복하게 하는 방법은 하나가 아닙니다. [br]……분명 다른 직업도 마찬가지일 거예요. [/C]"
KEY_VIEW_ITEM_19__50F,"[br][C_IS]………………. [/C][br][C_IR]그래도 어떻게든 모험을 계속하겠다고[br]한다면, 말리진 않겠습니다. 도와드릴게요. [br]던전은 위험투성이지만, [br]설레는 일도 잔뜩 있었어요![/C][br]\n[C_IR]……함께 모험합시다![/C]"
KEY_VIEW_ITEM_19__50G,"[br][C_IS]……훌륭해요. 정말 훌륭합니다![br]왠지 저도 힘을 얻었어요![/C][br][C_IR]아니, 왜죠(웃음)[/C][br][C_IS]하하…… 오늘은 감사했습니다![br]이런 형식으로 모셔서 죄송했지만, [br]사실은, [b]맛있는 식사도 제대로 준비해 두었습니다![/b][/C][br][C_IR][b]!!!?? 뭐, 뭐야 이거!? 굉장하잖아───!![/b][/C]"
